"Rank"	"Grade "	"Username"	"Uploads"	"Subs"	"Video Views"	"Date"	"Category"
"154th"	"B+ "	"El Chiringuito de Jugones"	4339	342532	225214466	2017-12-10	"Sports"
"155th"	"B+ "	"Mounir Tube"	1461	NA	99451628	2017-12-10	"Sports"
"156th"	"B+ "	"Serie A TIM"	14113	430004	110976061	2017-12-10	"Sports"
"157th"	"B+ "	"Живая Сталь"	63	17952	4352524	2017-12-10	"Sports"
"158th"	"B+ "	"Cracks MX"	370	643535	90883153	2017-12-10	"Sports"
"159th"	"B+ "	"FlexPlusTV"	132	185964	101332840	2017-12-10	"Sports"
"160th"	"B+ "	"Vans"	2206	309476	101414875	2017-12-10	"Sports"
"161st"	"B+ "	"YouuToobe"	521	57320	81074098	2017-12-10	"Sports"
"162nd"	"B+ "	"Taraz Football"	192	101546	49572032	2017-12-10	"Sports"
"163rd"	"B+ "	"MMG"	767	534139	164305588	2017-12-10	"Sports"
"164th"	"B+ "	"Joga Bonito"	200	687765	220452023	2017-12-10	"Sports"
"165th"	"B+ "	"JHTV Productions"	105	112394	24584124	2017-12-10	"Sports"
"166th"	"B+ "	"Ligue 1 Conforama"	9906	768004	236908231	2017-12-10	"Sports"
"167th"	"B+ "	"Алексей Столяров"	247	502731	68572349	2017-12-10	"Sports"
"168th"	"B+ "	"Whitney Bjerken"	425	856462	311176573	2017-12-10	"Sports"
"169th"	"B+ "	"Kabaddi365.com"	661	230419	54017416	2017-12-10	"Sports"
"170th"	"B+ "	"MNcompsJR"	334	373355	96887292	2017-12-10	"Sports"
"171st"	"B+ "	"MadridistaTV"	300	782889	145234496	2017-12-10	"Sports"
"172nd"	"B+ "	"FC Barcelona"	6636	3361214	380593753	2017-12-10	"Sports"
"173rd"	"B+ "	"Nick's Strength and Power"	1140	236140	108216679	2017-12-10	"Sports"
"174th"	"B+ "	"Champs Sports"	328	76351	86348000	2017-12-10	"Sports"
"175th"	"B+ "	"Star Sports"	7263	911107	246550879	2017-12-10	"Sports"
"176th"	"B+ "	"Global Cycling Network"	2696	1214340	381605635	2017-12-10	"Sports"
"177th"	"B+ "	"MMA EMPIRE"	61	NA	53154353	2017-12-10	"Sports"
